player_name,season,team,gp,goals,assists,points,ppg,gpg,plus_minus,avg_toi,age,,
Clayton Keller,2017-2018,ARI,82,23,42,65,0.792682927,0.280487805,-7,18.08,19,,
Clayton Keller,2018-2019,ARI,82,14,33,47,0.573170732,0.170731707,-21,18.23,20,,
Clayton Keller,2019-2020,ARI,70,17,27,44,0.628571429,0.242857143,-6,16.3,21,,
Clayton Keller,2020-2021,ARI,56,14,21,35,0.625,0.25,-5,16.67,22,,
Clayton Keller,2021-2022,ARI,67,28,35,63,0.940298507,0.417910448,3,20.13,23,,
Clayton Keller,2022-2023,ARI,82,37,49,86,1.048780488,0.451219512,-2,20.75,24,,
Clayton Keller,2023-2024,ARI,78,33,43,76,0.974358974,0.423076923,-20,19.25,25,,
Clayton Keller,2024-2025,UTA,81,30,60,90,1.111111111,0.37037037,-12,19.12,26,,
Clayton Keller,2025-2026,UTA,80,26,59,85,1.0625,0.325,22,19.05,27,,
Nick Schmaltz,2019-2020,ARI,70,11,34,45,0.642857143,0.157142857,3,15.53,23,,
Nick Schmaltz,2020-2021,ARI,52,10,22,32,0.615384615,0.192307692,-1,17.05,24,,
Nick Schmaltz,2021-2022,ARI,63,23,36,59,0.936507937,0.365079365,1,18.15,25,,
Nick Schmaltz,2022-2023,ARI,63,22,36,58,0.920634921,0.349206349,4,19.72,26,,
Nick Schmaltz,2023-2024,ARI,79,22,39,61,0.772151899,0.278481013,-16,19.18,27,,
Nick Schmaltz,2024-2025,UTA,82,20,43,63,0.768292683,0.243902439,-15,18.58,28,,
Nick Schmaltz,2025-2026,UTA,80,31,41,72,0.9,0.3875,20,19.72,29,,
Lawson Crouse,2016-2017,ARI,72,5,7,12,0.166666667,0.069444444,-20,11.88,19,,
Lawson Crouse,2018-2019,ARI,81,11,14,25,0.308641975,0.135802469,5,12.95,21,,
Lawson Crouse,2019-2020,ARI,66,15,10,25,0.378787879,0.227272727,0,13.58,22,,
Lawson Crouse,2020-2021,ARI,51,4,9,13,0.254901961,0.078431373,-10,14.3,23,,
Lawson Crouse,2021-2022,ARI,65,20,14,34,0.523076923,0.307692308,-9,17.43,24,,
Lawson Crouse,2022-2023,ARI,77,24,21,45,0.584415584,0.311688312,-3,17.75,25,,
Lawson Crouse,2023-2024,ARI,81,23,19,42,0.518518519,0.283950617,-7,16.82,26,,
Lawson Crouse,2024-2025,UTA,81,12,6,18,0.222222222,0.148148148,-4,13.73,27,,
Lawson Crouse,2025-2026,UTA,79,23,20,43,0.544303797,0.291139241,23,16.57,28,,
Michael Carcone,2023-2024,ARI,74,21,8,29,0.391891892,0.283783784,-2,11.27,27,,
Michael Carcone,2024-2025,UTA,53,7,12,19,0.358490566,0.132075472,-7,11.43,28,,
Michael Carcone,2025-2026,UTA,77,15,15,30,0.38961039,0.194805195,2,12.63,29,,
Logan Cooley,2023-2024,ARI,82,20,24,44,0.536585366,0.243902439,-13,15.82,19,,
Logan Cooley,2024-2025,UTA,75,25,40,65,0.866666667,0.333333333,1,17.87,20,,
Logan Cooley,2025-2026,UTA,52,23,18,41,0.788461538,0.442307692,4,17.38,21,,
Sean Durzi,2023-2024,ARI,76,9,32,41,0.539473684,0.118421053,-1,22.72,25,,
Sean Durzi,2025-2026,UTA,59,5,22,27,0.457627119,0.084745763,-12,19.42,27,,
Barrett Hayton,2021-2022,ARI,60,10,14,24,0.4,0.166666667,-8,16.12,21,,
Barrett Hayton,2022-2023,ARI,82,19,24,43,0.524390244,0.231707317,-5,17.5,22,,
Barrett Hayton,2024-2025,UTA,82,20,26,46,0.56097561,0.243902439,-6,16.1,24,,
Barrett Hayton,2025-2026,UTA,67,10,15,25,0.373134328,0.149253731,3,15.12,25,,
Alexander Kerfoot,2023-2024,ARI,82,13,32,45,0.548780488,0.158536585,-15,17.43,29,,
Alexander Kerfoot,2024-2025,UTA,81,11,17,28,0.345679012,0.135802469,-5,15.25,30,,
Michael Kesselring,2023-2024,ARI,65,5,16,21,0.323076923,0.076923077,11,15.8,24,,
Michael Kesselring,2024-2025,UTA,82,7,22,29,0.353658537,0.085365854,4,17.68,25,,
Matias Maccelli,2022-2023,ARI,64,11,38,49,0.765625,0.171875,0,15.68,22,,
Matias Maccelli,2023-2024,ARI,82,17,40,57,0.695121951,0.207317073,-4,16.23,23,,
Matias Maccelli,2024-2025,UTA,55,8,10,18,0.327272727,0.145454545,-13,13.73,24,,
Jack McBain,2022-2023,ARI,82,12,14,26,0.317073171,0.146341463,-8,13.98,23,,
Jack McBain,2023-2024,ARI,67,8,18,26,0.388059701,0.119402985,8,12.62,24,,
Jack McBain,2024-2025,UTA,82,13,14,27,0.329268293,0.158536585,8,13.57,25,,
Jack McBain,2025-2026,UTA,75,9,16,25,0.333333333,0.12,11,13.85,26,,
